,student_id,priority,mark,status,kvota,year,specialty,university,placesCount,budgetCount,contractCount,vstup,budget_mark_mean,mark_mean,abit_count,mark_max,mark_min,budget_mark_max,budget_mark_min,position
33,34,5,192.102,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,34
34,35,3,191.9,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,35
35,36,5,191.69799999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,36
36,37,2,191.597,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,37
37,38,9,191.19299999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,38
38,39,К,191.19299999999998,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,39
39,40,4,190.99099999999999,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,40
40,41,2,190.89,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,41
41,42,К,190.688,До наказу (контракт),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,42
42,43,1,190.687,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,43
43,44,1,190.583,До наказу (бюджет),None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,True,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,44
44,45,3,190.385,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,45
45,46,5,189.981,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,46
46,47,7,189.88,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,47
47,48,9,189.77900000000002,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,48
48,49,2,189.678,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,49
49,50,2,189.678,Допущено,None,2017,Хімія,Харківський національний університет імені В.Н. Каразіна,100,51,49,False,184.0540833333334,175.37329906542053,214,200.0,136.249,200.0,164.888,50
